Latitude,Longitude,Name
27.62076432485607, 85.53815858560802, Junu
27.620761948323317, 85.53824843961002, Munu
27.620772642720297, 85.53850727277995, Manjuli
27.620677581377173, 85.53860919672252, Station
27.620647874690523, 85.53847240406276, Lotus
27.62128834906849, 85.53821436791861, Janata
27.621389351179445, 85.53843162684882, Sarita
27.621296666892917, 85.53844235568488, Sitoshna
27.621845985337263, 85.53848929434264, Jhilko
27.621894703766067, 85.53861804037535, Pawan Sweets
27.62194579868031, 85.5392027619406, Paleti
27.62097736776078, 85.53834215315413, Manjil
27.62089300098061, 85.53850576790404, Laxmi
